
[2019-07-08 18:31:59.945] 062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:11.365] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:11.865] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:12.365] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:12.869] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:13.376] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:13.876] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:14.379] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:14.879] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:15.383] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:15.887] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:16.387] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:16.887] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:17.392] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:17.892] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:18.396] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:18.900] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:19.399] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:19.905] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:20.404] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:20.908] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:21.412] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:21.912] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:22.416] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:22.917] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:23.417] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:23.921] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:24.425] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:24.925] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:25.429] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:25.934] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:26.431] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:26.935] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:27.435] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:27.939] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:28.443] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:28.945] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:29.445] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:29.949] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:30.449] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:30.953] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:31.458] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:31.957] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:32.461] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:32.961] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:33.465] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:33.969] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:34.467] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:34.971] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:35.475] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:35.975] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:36.479] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:36.983] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:37.485] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:37.987] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:38.487] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:38.991] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:39.495] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:39.991] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:40.495] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:41.002] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:41.500] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:42.004] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:42.508] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:43.008] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:43.511] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:44.011] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:44.515] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:45.019] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:45.519] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:46.023] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:46.525] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.045117
[2019-07-08 18:32:47.028] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:47.529] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:48.033] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:48.532] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:49.037] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.045117
[2019-07-08 18:32:49.535] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:50.042] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:50.543] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:51.043] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:51.547] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.045117
[2019-07-08 18:32:52.051] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:52.553] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
