1973.13 (ppm)
2217.27 (ppm)
2217.27 (ppm)
2339.34 (ppm)
2339.34 (ppm)
2461.41 (ppm)
2461.41 (ppm)
2583.48 (ppm)
2583.48 (ppm)
2705.55 (ppm)
2705.55 (ppm)
2827.62 (ppm)
2827.62 (ppm)
2949.69 (ppm)
2827.62 (ppm)
2949.69 (ppm)
2949.69 (ppm)
3071.76 (ppm)
3071.76 (ppm)
3071.76 (ppm)
3071.76 (ppm)
3193.83 (ppm)
3193.83 (ppm)
3193.83 (ppm)
3193.83 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3437.97 (ppm)
3315.90 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3437.97 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3315.90 (ppm)
3193.83 (ppm)
3315.90 (ppm)
3193.83 (ppm)
3193.83 (ppm)
3193.83 (ppm)
3193.83 (ppm)
3193.83 (ppm)
3193.83 (ppm)
3071.76 (ppm)
3071.76 (ppm)
3071.76 (ppm)
3071.76 (ppm)
2949.69 (ppm)
3193.83 (ppm)
2949.69 (ppm)
3071.76 (ppm)
2827.62 (ppm)
3071.76 (ppm)
2827.62 (ppm)
3071.76 (ppm)
2827.62 (ppm)
2949.69 (ppm)
2827.62 (ppm)
2827.62 (ppm)
2827.62 (ppm)
2827.62 (ppm)
2705.55 (ppm)
2827.62 (ppm)
2705.55 (ppm)
2705.55 (ppm)
2705.55 (ppm)
2705.55 (ppm)
2583.48 (ppm)
2583.48 (ppm)
2583.48 (ppm)
2583.48 (ppm)
2583.48 (ppm)
2583.48 (ppm)
2461.41 (ppm)
2461.41 (ppm)
2461.41 (ppm)
2461.41 (ppm)
2461.41 (ppm)
2461.41 (ppm)
2339.34 (ppm)
2339.34 (ppm)
2339.34 (ppm)
2339.34 (ppm)
2339.34 (ppm)
2339.34 (ppm)
2217.27 (ppm)
2217.27 (ppm)
2217.27 (ppm)
2217.27 (ppm)
2217.27 (ppm)
2217.27 (ppm)
2095.20 (ppm)
2095.20 (ppm)
2095.20 (ppm)
2095.20 (ppm)
2095.20 (ppm)
2095.20 (ppm)
1973.13 (ppm)
1973.13 (ppm)
1973.13 (ppm)
1973.13 (ppm)
1973.13 (ppm)
1973.13 (ppm)
1973.13 (ppm)
1851.05 (ppm)
1851.05 (ppm)
1851.05 (ppm)
1851.05 (ppm)
1851.05 (ppm)
1851.05 (ppm)
